iter	Passed	Remaining
858	34081	122120
859	34120	122078
860	34176	122097
861	34216	122058
862	34256	122020
863	34295	121979
864	34332	121930
865	34390	121955
866	34432	121923
867	34474	121891
868	34514	121853
869	34554	121813
870	34610	121830
871	34648	121786
872	34688	121747
873	34731	121720
874	34771	121681
875	34827	121698
876	34867	121657
877	34907	121618
878	34946	121575
879	34986	121538
880	35045	121566
881	35085	121525
882	35126	121489
883	35165	121447
884	35205	121409
885	35260	121422
886	35299	121380
887	35342	121349
888	35380	121302
889	35418	121257
890	35476	121281
891	35515	121238
892	35553	121192
893	35595	121158
894	35634	121118
895	35690	121134
896	35731	121096
897	35772	121061
898	35810	121016
899	35847	120966
900	35901	120971
901	35939	120926
902	35978	120885
903	36018	120844
904	36057	120801
905	36112	120813
906	36150	120768
907	36188	120722
908	36225	120671
909	36262	120621
910	36315	120625
911	36354	120584
912	36394	120544
913	36431	120493
914	36469	120448
915	36529	120474
916	36566	120427
917	36607	120388
918	36646	120345
919	36684	120302
920	36745	120330
921	36784	120289
922	36823	120244
923	36859	120192
924	36899	120154
925	36955	120165
926	36993	120118
927	37031	120071
928	37070	120028
929	37107	119982
930	37165	120000
931	37205	119959
932	37245	119919
933	37284	119878
934	37323	119834
935	37380	119847
936	37418	119804
937	37454	119751
938	37490	119699
939	37529	119655
940	37583	119660
941	37625	119626
942	37664	119584
943	37702	119538
944	37741	119494
945	37797	119506
946	37837	119465
947	37877	119426
948	37916	119382
949	37954	119338
950	38012	119352
951	38051	119309
952	38089	119262
953	38128	119222
954	38166	119175
955	38224	119191
956	38265	119154
957	38307	119121
958	38348	119082
959	38386	119039
960	38441	119044
961	38478	118995
962	38517	118953
963	38558	118913
964	38597	118872
965	38650	118873
966	38692	118839
967	38730	118791
968	38768	118745
969	38806	118701
970	38859	118698
971	38897	118652
972	38936	118609
973	38973	118560
974	39011	118515
975	39069	118529
976	39106	118480
977	39144	118434
978	39179	118378
979	39215	118328
980	39264	118314
981	39302	118267
982	39340	118220
983	39379	118178
984	39420	118140
985	39473	118141
986	39514	118102
987	39553	118061
988	39592	118015
989	39630	117970
990	39684	117972
991	39724	117933
992	39764	117893
993	39802	117847
994	39841	117801
995	39896	117805
996	39932	117755
997	39971	117710
998	40008	117662
999	40044	117610
1000	40098	117610
1001	40137	117568
1002	40175	117521
1003	40213	117475
1004	40252	117431
1005	40306	117434
1006	40345	117390
1007	40383	117345
1008	40420	117296
1009	40457	117246
1010	40512	117250
1011	40550	117204
1012	40588	117157
1013	40625	117107
1014	40662	117061
1015	40717	117061
1016	40754	117015
1017	40792	116968
1018	40830	116921
1019	40869	116878
1020	40920	116870
1021	40959	116825
1022	40998	116784
1023	41038	116742
1024	41075	116693
1025	41133	116706
1026	41172	116663
1027	41212	116621
1028	41250	116577
1029	41288	116530
1030	41341	116526
1031	41377	116475
1032	41447	116519
1033	41482	116464
1034	41534	116457
1035	41571	116408
1036	41608	116358
1037	41646	116311
1038	41683	116265
1039	41737	116263
1040	41775	116216
1041	41813	116171
1042	41850	116120
1043	41889	116077
1044	41940	116069
1045	41977	116021
1046	42016	115975
1047	42053	115928
1048	42089	115877
1049	42140	115866
1050	42178	115820
1051	42217	115778
1052	42254	115729
1053	42292	115681
1054	42344	115676
1055	42381	115626
1056	42419	115580
1057	42455	115528
1058	42495	115486
1059	42549	115486
1060	42586	115436
1061	42623	115388
1062	42661	115341
1063	42716	115341
1064	42755	115299
1065	42792	115250
1066	42830	115204
1067	42866	115154
1068	42917	115141
1069	42953	115090
1070	42993	115051
1071	43030	115002
1072	43068	114955
1073	43119	114945
1074	43160	114906
1075	43200	114866
1076	43239	114822
1077	43278	114781
1078	43328	114767
1079	43366	114719
1080	43405	114676
1081	43442	114629
1082	43480	114582
1083	43531	114571
1084	43571	114531
1085	43609	114484
1086	43647	114439
1087	43685	114393
1088	43737	114384
1089	43777	114342
1090	43813	114293
1091	43849	114242
1092	43887	114196
1093	43938	114183
1094	43973	114131
1095	44014	114092
1096	44052	114045
1097	44088	113995
1098	44139	113982
1099	44176	113935
1100	44215	113890
1101	44251	113841
1102	44287	113790
1103	44340	113783
1104	44378	113738
1105	44413	113684
1106	44451	113637
1107	44489	113591
1108	44539	113576
1109	44575	113527
1110	44614	113483
1111	44652	113438
1112	44694	113403
1113	44751	113406
1114	44798	113381
1115	44836	113336
1116	44871	113284
1117	44908	113235
1118	44965	113237
1119	45002	113188
1120	45039	113139
1121	45073	113086
1122	45109	113035
1123	45163	113028
1124	45199	112979
1125	45237	112932
1126	45272	112879
1127	45310	112833
1128	45364	112829
1129	45403	112784
1130	45439	112735
1131	45478	112690
1132	45514	112640
1133	45566	112629
1134	45605	112587
1135	45643	112541
1136	45681	112495
1137	45717	112445
1138	45769	112434
1139	45807	112389
1140	45844	112341
1141	45880	112289
1142	45915	112238
1143	45969	112231
1144	46005	112181
1145	46042	112133
1146	46079	112084
1147	46114	112033
1148	46166	112021
1149	46203	111972
